# r_ij	ML	ED
0.00000000 0.02554161 0.02538915
1.00000000 0.02490677 0.02478322
2.00000000 0.02325562 0.02319367
3.00000000 0.02096226 0.02096314
4.00000000 0.01836319 0.01841910
5.00000000 0.01568618 0.01578529
6.00000000 0.01307872 0.01321053
7.00000000 0.01063935 0.01079447
8.00000000 0.00843451 0.00860549
9.00000000 0.00650692 0.00668923
10.00000000 0.00487672 0.00506844
11.00000000 0.00354529 0.00374699
12.00000000 0.00249623 0.00271032
13.00000000 0.00169972 0.00192860
14.00000000 0.00111717 0.00136043
15.00000000 0.00070733 0.00096017
16.00000000 0.00043064 0.00068373
17.00000000 0.00025194 0.00049295
18.00000000 0.00014128 0.00035824
19.00000000 0.00007480 0.00025841
20.00000000 0.00003488 0.00018011
21.00000000 0.00000996 0.00011612
22.00000000 0.00000625 0.00006418
23.00000000 0.00001665 0.00002499
24.00000000 0.00002249 0.00000035
